Collapse time: 0.194408
Anchor time: 0.621468

Degree_distribution_Collapsers: 
1	21157	0.0342204
2	9374	0.37732
3	5360	0.71791
4	3695	1.06685
5	2624	1.44817
6	2052	1.87476
7	1639	2.31727
8	1304	2.81979
9	1090	3.2156
10	939	3.7476
11	750	4.37467
12	697	4.71019
13	634	5.57729
14	523	5.97706
15	469	6.36247
16	381	7.4147
17	328	7.99695
18	335	8.19403
19	291	8.4055
20	281	9.29537
21	228	10.6096
22	247	11.247
23	187	11.8449
24	203	11.8571
25	179	13.4246
26	172	14.7093
27	157	14.8344
28	141	15.8652
29	121	16.7769
30	126	16.8095
31	110	17.5636
32	108	18.8333
33	89	19.7865
34	89	20.9438
35	82	22.1341
36	84	21.5952
37	82	22.8659
38	70	22.4857
39	60	25.7333
40	60	23.3333
41	61	25.8033
42	58	26.3966
43	54	27.2963
44	56	28.5536
45	56	26.4286
46	47	27.383
47	43	29.4419
48	45	30.6222
49	36	31.6111
50	35	29.3429
51	24	30.9167
52	32	29.75
53	36	35.5278
54	25	39.56
55	32	35.875
56	28	36.5357
57	29	36.2414
58	31	42.4194
59	29	37.931
60	27	37.1481
61	23	45.1739
62	14	40.5
63	28	41.1071
64	16	49.5625
65	29	43.3793
66	27	38.2593
67	18	46.3333
68	17	45.5294
69	24	55.5833
70	12	48.25
71	19	43.5789
72	14	51.7143
73	15	49.2667
74	10	54.7
75	15	46.1333
76	15	51.4
77	20	66.9
78	15	57.2667
79	9	58.1111
80	8	58.25
81	12	50
82	15	54.3333
83	9	60
84	11	44.8182
85	7	80.7143
86	3	51
87	12	54.8333
88	7	55.1429
89	10	73.3
90	9	65.1111
91	11	58.2727
92	7	60.5714
93	7	55.5714
94	8	61.25
95	10	63.4
96	9	73.1111
97	9	86
98	10	72.8
99	4	58.25
100	5	88.4
101	8	85.125
102	2	72.5
103	6	50
104	1	111
105	6	100.833
106	7	78
107	8	100.625
108	7	81.4286
109	9	80.5556
110	1	32
111	5	98.2
112	9	102
113	7	90.7143
114	4	84.25
115	5	67
116	2	105
117	9	91
118	8	87.875
119	8	107
120	3	119.333
121	11	107.636
122	1	116
123	3	105
124	7	79.5714
125	7	81.8571
126	4	117.5
127	3	75
128	5	93.8
129	2	152
130	3	90.6667
131	2	124
132	7	118.286
134	2	119
135	3	134.667
137	5	91.4
138	3	83.6667
139	6	105.5
141	3	90.6667
142	3	105
143	1	103
144	4	112.25
145	1	51
146	4	104.25
147	7	136
148	2	113.5
149	5	126
